STRING_ID,English,Translation,Description,Spanish,Chinese,German,Brazilian,French,Russian,Korean
UnlockInHomeBase,Unlock in Home Base,,,Desbloquéalo en tu base,在大本营解锁,In Heimatbasis freischalten,Desbloquear na base de operações,Débloquez à la base,Открывается на базе,홈 베이스 잠금 해제
NonCustomCharacters,Non-Custom Characters,,,Personajes no personalizados,非自定义角色,Nicht benutzerdefinierte Charaktere,Personagens Padrão,Personnages non personnalisables,Персонажи,비커스텀 캐릭터
,,,,,,,,,,
ZombieMutator,Zombies Ate My Game Balance,,,Los zombis se comieron mi saldo del juego,僵尸派对,Zombies fraßen mein Spielguthaben,Os Zumbis comeram meu Saldo de Jogo,Les zombis ont bouffé l'équilibre de mon jeu,Зомби съели весь баланс,좀비가 내 게임 잔액을 먹어 버렸습니다.
D_ZombieMutator,Zombies appear on every level.,,,Aparecen zombis en todos los niveles.,每关将出现僵尸,Zombies erscheinen in jedem Level.,Os zumbis aparecem em todos os níveis.,Des zombis apparaissent à tous les niveaux.,Зомби появляются на каждом уровне.,좀비가 모든 레벨에 나타납니다
NoSlums,Remove District - Slums,,,Quitar niveles - Barrios Marginales,移除贫民窟,Gebiet entfernen – Slums,Remover Distrito - Favelas,Suppression de quartier - Bidonville,Убрать трущобы,구역 - 슬럼을 제거합니다
NoIndustrial,Remove District - Industrial,,,Quitar niveles - Zona Industrial,移除工业区,Gebiet entfernen – Industriegebiet,Remover Distrito - Industrial,Suppression de quartier - Zone industrielle,Убрать завод,구역 - 산업을 제거합니다
NoPark,Remove District - Park,,,Quitar niveles - Parque,移除公园区,Gebiet entfernen – Park,Remover Distrito - Parque,Suppression de quartier - Parc,Убрать парк,구역 - 공원을 제거합니다
NoDowntown,Remove District - Downtown,,,Quitar niveles - Centro,移除商业区,Gebiet entfernen – Innenstadt,Remover Distrito - Centro da Cidade,Suppression de quartier - Centre-ville,Убрать деловой центр,구역 - 다운타운을 제거합니다
NoUptown,Remove District - Uptown,,,Quitar niveles - Barrio Privilegiado,移除住宅区,Gebiet entfernen – Nobelviertel,Remover Distrito - Bairro Classe A,Suppression de quartier - Quartiers chics,Убрать пригород,구역 - 업타운을 제거합니다
D_NoSlums,Slums levels do not appear in the game.,,,Los niveles de los barrios marginales no aparecen en la partida.,贫民窟将不会出现在游戏中,Im Spiel gibt es keine Level im Slum.,Os níveis das Favelas não aparecem no jogo.,Les niveaux Bidonville n'apparaissent pas pendant la partie.,Убирает из игры трущобы.,슬럼 레벨은 게임에 나타나지 않습니다.
D_NoIndustrial,Industrial levels do not appear in the game.,,,Los niveles de la zona industrial no aparecen en la partida.,工业区将不会出现在游戏中,Im Spiel gibt es keine Level im Industriegebiet.,Os níveis Industriais não aparecem no jogo.,Les niveaux Zone industrielle n'apparaissent pas pendant la partie.,Убирает из игры завод.,산업 레벨은 게임에 나타나지 않습니다.
D_NoPark,Park levels do not appear in the game.,,,Los niveles del parque no aparecen en la partida.,公园区将不会出现在游戏中,Im Spiel gibt es keine Level im Park.,Os níveis do Parque não aparecem no jogo.,Les niveaux Parc n'apparaissent pas pendant la partie.,Убирает из игры парк.,공원 레벨은 게임에 나타나지 않습니다.
D_NoDowntown,Downtown levels do not appear in the game.,,,Los niveles del centro no aparecen en la partida.,商业区将不会出现在游戏中,Im Spiel gibt es keine Level in der Innenstadt.,Os níveis do Centro da Cidade não aparecem no jogo.,Les niveaux Centre-ville n'apparaissent pas pendant la partie.,Убирает из игры деловой центр.,다운타운 레벨은 게임에 나타나지 않습니다.
D_NoUptown,Uptown levels do not appear in the game.,,,Los niveles del barrio privilegiado no aparecen en la partida.,住宅区将不会出现在游戏中,Im Spiel gibt es keine Level im Nobelviertel.,Os níveis do Bairro Classe A não aparecem no jogo.,Les niveaux Quartiers chics n'apparaissent pas pendant la partie.,Убирает из игры пригород.,업타운 레벨은 게임에 나타나지 않습니다.
RandomLevelThemes,Random Districts,,,Distritos aleatorios,随机区域,Zufällige Gebiete,Distritos Aleatórios,Quartiers aléatoires,Случайные районы,랜덤 구역
D_RandomLevelThemes,"District for each level (Slums, Industrial, etc.) is randomized.",,,"El distrito para cada nivel (Barrios marginales, Zona industrial, etc.) se determina de forma aleatoria.",每个级别的区域（贫民窟、工业等）是随机化的。,"Das Gebiet für jedes Level (Slums, Industriegebiet etc.) wird zufällig bestimmt.","O Distrito de cada nível (Favelas, Industrial, etc.) é escolhido de forma aleatória.","Le quartier de chaque niveau (Bidonville, Zone industrielle, etc.) est choisi aléatoirement.","Случайные районы на каждом уровне (трущобы, завод и т. д.).","각 레벨(슬럼, 산업 등) 구역은 무작위로 분류됩니다."
ExplodingBodies,Exploding Bodies,,,Cadáveres explosivos,身体会爆炸,Explodierende Leichen,Corpos Explosivo,Corps explosifs,Взрывающиеся тела,사체 폭발
D_ExplodingBodies,Bodies explode shortly after hitting the ground.,,,Los cuerpos explotan al poco de ser abatidos.,你打倒的人将会在很短的时间内爆炸,Leichen explodieren kurz nachdem sie auf dem Boden aufgeprallt sind.,Os corpos explodem logo depois que atingem o solo.,Les corps explosent peu après avoir touché le sol.,При падении на землю тела взрываются.,시체는 땅에 닿은 직후에 폭발합니다.
NoCops,No Patrolling Cops,,,Sin patrullas policiales,无巡逻警察,Keine patrouillierenden Polizisten,Não há Patrulha Policiais,Pas de patrouille de police,Без патрулей,순찰 중인 경찰 없음
D_NoCops,"Law Enforcement classes no longer patrol the streets, though they can still appear through other circumstances.",,,"Las autoridades ya no pasean por las calles, aunque siguen pudiendo aparecer en otras circunstancias.",警察不再在街上巡逻，尽管他们仍然可以在其他情况下出现。,"Strafverfolgungsbeamten patrouillieren nicht mehr auf den Straßen, sie können aber unter anderen Umständen immer noch auftauchen.","As classes das autoridades policias não patrulham mais as ruas, embora ainda possam aparecer em outras circunstâncias.","Les forces de l'ordre ne patrouillent plus dans les rues, mais elles peuvent toujours apparaître dans d'autres circonstances.","Правоохранители не патрулируют улицы, однако могут появляться в определенных обстоятельствах.",경찰은 더 이상 거리를 순찰하지 않지만 다른 상황에서도 계속 나타납니다.
FullHealth,Full Health for All,,,Salud completa para todos,全民健康,Volle Gesundheit für alle,Energia Cheia para Todos,Plein de santé pour tous,Полное здоровье у всех,모드에 대해 전체 헬스
D_FullHealth,"NPCs start with similar health to the player, instead of having their health reduced by default.",,,Los PNJs empiezan con salud similar a la del jugador en vez de tenerla reducida.,NPC与玩家的生命值相似，而不是默认的生命值减少。,"NSC beginnen mit ähnlicher Gesundheit wie der Spieler, statt dass ihre Gesundheit standardmäßig verringert wird.","Os NPCs começam com uma energia semelhante à do jogador, ao invés de ter sua energia reduzida como padrão.","Les PNJ commencent avec la même santé que le joueur, au lieu d'avoir une santé réduite par défaut.","У неигровых персонажей с начала столько же здоровья, как у игрока (по умолчанию — меньше).",NPC는 기본값으로 건강을 감소시키는 대신 플레이어와 비슷한 건강 상태로 시작합니다.
InfiniteMeleeDurability,Infinite Melee Durability,,,Durabilidad infinita de ataque físico,无限近战耐久,Unendliche Nahkampfwaffenhaltbarkeit,Durabilidade de Ataque Físico Infinita,Durabilité infinie au corps-à-corps,Бесконечная прочность оружия ближнего боя,무한한 근접 공격 내구력
D_InfiniteMeleeDurability,Melee weapons do not lose durability when hitting other people.,,,Las armas cuerpo a cuerpo no se deterioran al golpear a otras personas.,近战武器在攻击他人时不会失去耐久,"Nahkampfwaffen verlieren nicht an Haltbarkeit, wenn sie Personen treffen.",As armas de ataque físico não perdem durabilidade ao bater em outras pessoas.,Les armes de corps-à-corps ne perdent pas de durabilité quand vous frappez d'autres personnes.,Оружие ближнего боя не теряет прочность при попадании в людей.,근접 공격 무기는 다른 사람들을 공격할 때 내구력을 잃지 않습니다.
InfiniteAmmo,Infinite Ammo,,,Munición infinita,无限子弹,Unendliche Munition,Munição Infinita,Munitions infinies,Бесконечные боеприпасы,무한 탄약
D_InfiniteAmmo,Ammo does not deplete when firing guns.,,,La munición no disminuye al disparar armas.,枪械射击时不会消耗弹药。,"Munition wird nicht erschöpft, wenn du mit Waffen schießt.",A munição não diminui ao disparar as armas.,Les munitions ne s'épuisent pas quand vous tirez.,При стрельбе боеприпасы не расходуются.,총을 발사할 때 탄약은 고갈되지 않습니다.
InfiniteAmmoNormalWeapons,Infinite Ammo (Common Weapons),,,Munición infinita (armas comunes),无限弹药（普通武器）,Unendliche Munition (gewöhnliche Waffen),Munição infinita (Armas comuns),Munitions infinies (armes ordinaires),Бесконечные боеприпасы для обычного оружия,무한 탄약(일반 무기)
D_InfiniteAmmoNormalWeapons,"Ammo does not deplete when firing ""common"" weapons (typically bullet-based).",,,"La munición no disminuye al disparar armas ""comunes"" (normalmente basadas en balas).",“普通”武器发射时不会消耗弹药（通常是子弹）。,"Munition wird nicht erschöpft, wenn du mit „gewöhnlichen“ Waffen schießt (typischerweise auf Kugelbasis).","A munição não diminui ao disparar armas ""comuns"" (geralmente as que usam balas).","Les munitions ne s'épuisent pas quand vous tirez avec des armes ""ordinaires"" (généralement celles qui utilisent des balles).",При стрельбе обычным оружием (обычно это пулевое) боеприпасы не расходуются.,"탄약은 ""일반적인"" 무기(일반적인 총알 기반)를 발사할 때 고갈되지 않습니다."
RandomMutators,Random Mutators,,,Modificadores aleatorios,随机突变,Zufällige Mutatoren,Modificadores Aleatórios,Mutateurs aléatoires,Случайные мутаторы,랜덤 뮤테이터
D_RandomMutators,New mutators are chosen randomly each level.,,,Se eligen nuevos modificadores al azar en cada nivel.,每关随机选择新的突变。,Neue Mutatoren werden in jedem Level zufällig ausgewählt.,Os novos modificadores são escolhidos aleatoriamente em cada nível.,Les nouveaux mutateurs sont choisis aléatoirement à chaque niveau.,На каждом уровне случайным образом выбираются новые мутаторы.,새로운 뮤테이터는 각 레벨에서 랜덤으로 선택됩니다.
ContinuesMode,Continue?,,,¿Continuar?,继续？,Fortfahren?,Continuar?,Continuer ?,Продолжить?,계속하시겠어요?
D_ContinuesMode,"Upon death, the player can continue the game from the beginning of the floor.  2 continues per run.  Starts after you complete Floor 1.",,,"Al morir, el jugador puede continuar la partida desde el principio de esa planta. 2 continuaciones por partida. Se activa al completar la planta 1.",丢掉性命以后，玩家可以从当前楼层开始时继续游戏。每回合共有2次继续游戏的机会。从你完成1楼后开始算起。,"Wenn du stirbst, kannst du das Spiel vom Beginn der Etage fortsetzen. 2 Versuche pro Lauf. Startet, nachdem du Etage 1 abgeschlossen hast.","Ao morrer, o jogador pode continuar o jogo do início do andar. 2 continuações por rodada. Começa após concluir o Andar 1.","À sa mort, le joueur peut recommencer au début de l'étage. Il dispose de 2 ""Continuer"" par manche. Disponible une fois que vous avez terminé le 1er étage.",После смерти игрок может продолжить игру с начала текущего этажа. 2 попытки на этаж. Доступно после прохождения 1 этажа.,사망하면 플레이어는 층의 시작부터 다시 이어할 수 있습니다. 한 게임에서 2번 가능합니다. 1층을 완료한 이후부터 시작됩니다.
MixedUpLevels,Mixed-Up Environments,,,Entornos mezclados,混合环境,Gemischte Umgebungen,Ambientes Misturados,Environnements mélangés,Смешанное окружение,혼합 환경
D_MixedUpLevels,What if Lakes could appear in the Slums?  What if Mobsters hung out in the Park?  This mutator should answer all your questions.,,,¿Y si pudieran aparecer lagos en los barrios marginales? ¿Y si hubiera mafiosos por el parque? Este modificador responderá a todas tus preguntas.,如果湖泊出现在贫民窟怎么办？如果歹徒在公园里闲逛怎么办？这个突变应该会回答你所有的问题。,"Was wäre, wenn Seen in den Slums auftauchen könnten? Oder Gangster im Park herumlungern würden? Dieser Mutator sollte all deine Fragen beantworten.",E se os Lagos pudessem aparecer nas Favelas? E os Mafiosos passassem tempo pelo Parque? Este modificador deve responder todas às suas perguntas.,Et si des Lacs apparaissaient dans un Bidonville ? Et si des Gangsters traînaient dans le Parc ? Ce mutateur peut répondre à toutes vos questions.,"Что, если в трущобах появятся озера? А бандиты будут тусоваться в парке? Этот мутатор ответит на подобные вопросы.",호수가 슬럼가에 나타날 수 있다면 어떨까요? 거위가 공원에 간다면? 이 뮤테이터가 모든 질문에 대답합니다.
QuickGame,Quick Game,,,Partida rápida,快速游戏,Schnelles Spiel,Jogo Rápido,Partie rapide,Быстрая игра,빠른 게임
D_QuickGame,Only 10 levels in the game instead of 15.  Most Unlocks relating to finishing specific levels will not trigger.,,,El juego solo tendrá 10 niveles en vez de 15. No te permitirá obtener la mayoría de desbloqueos relacionados con un nivel.,游戏中只有10层，而不是15层。大部分完成特定的层数的成就不会触发,Nur 10 Level im Spiel statt 15. Die meisten Freischaltungen in Bezug auf das Abschließen bestimmter Level werden nicht ausgelöst.,"Apenas 10 níveis no jogo, em vez de 15. A maioria dos Desbloqueios por conclusão de níveis específicos não serão acionados.",Seulement 10 niveaux par partie au lieu de 15. La plupart des éléments à débloquer en fonction de niveaux particuliers à terminer ne sont pas débloqués.,В игре 10 уровней вместо 15 (достижения и награды конкретных уровней в большинстве случаев не будут открыты).,15개의 레벨이 아니라 10개의 레벨이 있습니다. 특정 레벨을 완료하는 것과 관련한 대부분의 잠금 해제는 실행되지 않습니다.
CompleteBigQuest,Complete Big Quest,,,Completa una Gran Misión,完成大任务,Führe die Große Aufgabe aus,Conclua a Grande Missão,Accomplissez la Grosse quête,Завершить основную миссию,빅 퀘스트를 완료했습니다
Gangbanger_BQ,Turf War,,,Guerra territorial,帮派地盘战争,Straßenkrieg,Disputa de Território,Guerre de territoire,Война за территорию,터프 전쟁
D_Gangbanger_BQ,"Wipe out every last Blahd you come across, and ensure permanent Crepe dominance in the city.",,,"Elimina a cada Blahd que te cruces, y asegura el dominio permanente de los Crepes en la ciudad.",消灭你遇到的所有血帮，确保瘸帮对城市的统治。,"Beseitige jeden einzelnen Blahd, der dir begegnet, und sorge für dauerhafte Dominanz der Crepes in der Stadt.",Elimine até o último Blahd que atravessar seu caminho e garanta que o domínio dos Crepes continue na cidade.,"Éliminez tous les Blairs que vous croisez, et assurez la mainmise définitive des Crêpes sur la ville.","Уничтожь всех Кровяных, которые попадутся, и обеспечь полное господство Невалидных в городе.",나타나는 마지막 블라드를 소탕하고 도시에서 영원한 크레페 우위를 확인합니다.
D2_Gangbanger_BQ,Neutralize every single Blahd,,,Neutraliza a todos los Blahds,消灭每一个血帮,Neutralisiere jeden einzelnen Blahd,Neutralize até o último Blahd,Neutralisez tous les Blairs,Нейтрализовать всех Кровяных,모든 단일 블라드를 중립화합니다
Zombie_BQ,Spread the Love,,,Difunde el amor,传播“爱”,Verbreite Liebe,Espalhe o Amor,Pouvoir de l'amour,Вирус любви,사랑을 전파합니다
D_Zombie_BQ,"Infect the populace far and wide, creating a glassy-eyed, rotting, beautiful love-fest.",,,"Infecta a la población por todas partes, creando un hermoso festival de amor putrefacto.",大规模地感染人口，创造一个呆滞、腐烂、美丽的“爱”之日。,"Infiziere die Bevölkerung weit und breit und erschaffe ein glasäugiges, verrottetes, wunderschönes Liebesfest.","Contamine a população por todas as partes, criando um lindo festival de amor aos olhos inexpressivos e à putrefação.","Infectez la population un peu partout pour créer un superbe festival de l'amour, quoi que porté sur la décomposition et les yeux vitreux.","Заражай людей повсюду, и да станут у них стеклянные глаза, и да сгниет у них кожа — да здравствует любовь!",전염병을 멀리 넓게 퍼뜨려 유리처럼 반짝이고 썩어가는 아름다운 사랑의 축제를 만듭니다.
D2_Zombie_BQ,Zombify a percentage of living people on each floor,,,Zombifica un porcentaje de personas vivas en cada planta,僵尸化每一层活人的比例,Zombifiziere einen prozentualen Anteil der lebenden Personen in jedem Abschnitt,Zumbifique uma porcentagem das pessoas vivas em cada andar,Zombifiez un pourcentage des personnes vivantes à chaque étage,Преврати в зомби определенный процент живущих на каждом этаже,각 층마다 살아 있는 사람들의 비율을 좀비화합니다
Cop_BQ,Law Abiding Law Enforcer,,,Policía respetuoso de la ley,守法执法者,Gesetzestreuer Gesetzeshüter,Autoridade Policial Seguidora da Lei,"La loi, c'est moi",Законопослушный правоохранитель,법을 집행하는 경찰
D_Cop_BQ,"Do things by the book, and fulfill your dream of becoming a Supercop.",,,Haz las cosas según las reglas y cumple tu sueño de convertirte en un Superpoli.,按警察的规矩办事，并完成你成为超级警察的梦想。,"Erledige die Dinge streng nach Vorschrift und erfülle dir deinen Traum, ein Superpolizist zu werden.",Faça tudo certinho e realize seu sonho de se tornar um Super Policial.,"Faites les choses dans les règles de l'art, et réalisez votre rêve : devenir un Super flic.",Делай все по инструкциям и осуществи мечту: стань суперкопом.,규정대로 일을 처리하고 슈퍼캅의 꿈을 이루세요.
D2_Cop_BQ,"Earn 2 Marks for arresting Guilty people, 1 for kills.  Lose Marks for taking down innocents.  If you fail a level, you can make it up later.",,,"Gana 2 marcas por arrestar a personas culpables, 1 por muertes. Pierde marcas por eliminar inocentes. Si fracasas en una planta, podrás compensarlo más tarde.",逮捕/杀死罪犯分别获得2/1枚警徽， 杀死无辜会损失一枚。,"Für das Verhaften schuldiger Personen erhältst du zwei Marken, für Tötungen eine. Du verlierst Marken für das Ausschalten von Unschuldigen. Wenn du ein Level nicht schaffst, kannst du das später ausbessern.","Ganhe 2 Marcas por prender pessoas Culpadas, 1 por mortes. Perca Marcas por eliminar inocentes. Se você não conseguir em um nível, você pode compensar mais tarde.","Gagnez 2 Marques quand vous arrêtez des Coupables, 1 quand vous en tuez. Perdez des Marques quand votre victime est innocente. Si vous échouez à un niveau, vous pouvez vous rattraper plus tard.","Две отметки — за аресты виновных, одна — за убийство. За убийство невиновных отметки забираются. Если уровень пройти не удается, можно будет закончить позже.","유죄 판결을 받은 자를 체포하면 2점, 사람을 처치하면 1점을 얻습니다. 무고한 사람을 쓰러뜨리면 점수를 잃습니다. 레벨에서 실패하면 나중에 복구할 수 있습니다."
Doctor_BQ,Purveyor of Peace,,,Proveedor de la paz,和平使者,Friedensbringer,Provedor da Paz,Livreur de paix,Вестник мира,평화의 납품업자
D_Doctor_BQ,Spread your righteous message of peace and chloroform by not killing TOO many people.,,,Difunde tu mensaje justo de paz y cloroformo al no matar a DEMASIADAS personas.,通过不滥杀，传播你关于和平和氯仿的正义理念。,"Verbreite deine gerechte Botschaft von Frieden und Chloroform, indem du nicht ZU VIELE Menschen tötest.",Espalhe sua mensagem justa de paz e clorofórmio não matando MUITAS pessoas.,"Diffusez votre juste message de paix imbibé de chloroforme, en évitant de tuer TROP de personnes.",Распространяй праведное послание о мире и хлороформе: не убивай СЛИШКОМ много людей.,많은 사람들을 죽이지 않고 평화와 클로로포름에 대한 의로운 메시지를 전파하십시오.
D2_Doctor_BQ,"Kill fewer than a certain number of people.  If you fail a level, you can make it up later.",,,"Mata a menos de un cierto número de personas. Si fracasas en una planta, podrás compensarlo más tarde.",杀死的人数小于特定值,"Töte weniger als eine bestimmte Anzahl von Menschen. Wenn du ein Level nicht schaffst, kannst du das später ausbessern.","Mate menos do que um certo número de pessoas. Se você não conseguir em um nível, você pode compensar mais tarde.","Tuez moins de personnes que la limite indiquée. Si vous échouez à un niveau, vous pouvez vous rattraper plus tard.","Необходимо убить меньше определенное числа людей. Если уровень пройти не удается, можно будет закончить позже.",특정 수보다 적은 수의 사람들을 처치하십시오. 레벨에 실패하면 나중에 복구할 수 있습니다.
Businessman_BQ,Sobriety is for Suckers,,,La sobriedad es para los tontos,只有屌丝才会保持清醒,Nüchternheit ist für Trottel,Sobriedade é para os Chatos,Sobriété ? Inconnu au bataillon,Трезвость для сосунков,불순한 것은 루저를 위한 것입니다.
D_Businessman_BQ,"Achieve Euphoria by maintaining a drug-fueled high for as long as possible, because that's how real life works, clearly.",,,"Alcanza la euforia manteniendo un nivel alto de consumo de drogas durante el mayor tiempo posible, porque así es como funciona la vida real, claramente.",尽可能长时间保持吸嗨的状态来获得欣快感，因为现实生活就是这样。,"Erreiche Euphorie, indem du so lange wie möglich auf Drogen bist, denn so funktioniert das Leben ja schließlich.","Chegue à Euforia mantendo o consumo de drogas alto por mais tempo possível, porque é assim que a vida funciona, claramente.",Atteignez l'Euphorie en restant défoncé aussi longtemps que possible. Parce que c'est clairement comme ça que la vraie vie fonctionne.,"Достигни эйфории, как можно дольше поддерживая высокий уровень наркотиков — ведь именно это настоящая жизнь.",가능한 오랫동안 마약을 충분히 유지하여 행복감을 유지합니다. 그것이 실제 생활에 명확하게 맞기 때문입니다.
D2_Businessman_BQ,"Don't go into Withdrawal more than a certain number of times each level.  If you fail a level, you can make it up later.",,,"No entres en Abstinencia más que unas pocas veces en cada planta. Si fracasas en una planta, podrás compensarlo más tarde.",在每一层停药的次数不能超过特定数值。 如果你闯关失败， 那么可以稍后弥补。,"Gelange nicht öfter als eine bestimmte Anzahl an Malen auf Entzug. Wenn du ein Level nicht schaffst, kannst du das später ausbessern.","Não entre em Abstinência mais de um certo número de vezes em cada nível. Se você não conseguir em um nível, você pode compensar mais tarde.","Ne passez pas En manque plus d'un certain nombre de fois par niveau. Si vous échouez à un niveau, vous pouvez vous rattraper plus tard.","Необходимо впасть в абстиненцию меньше определенного числа раз на каждом уровне. Если уровень пройти не удается, можно будет закончить позже.",각 레벨의 특정 횟수 이상으로 퇴각하지 마십시오. 레벨에 실패하면 나중에 복구할 수 있습니다.
ShapeShifter_BQ,Seeds of Chaos,,,Semillas del caos,混乱之种,Unruhestifter,Sementes do Caos,Les graines du chaos,Семя хаоса,혼돈의 씨앗
D_ShapeShifter_BQ,Stir up some good old-fashioned class tension by turning people against each other.,,,Alimenta una buena y tradicional tensión de clase haciendo que las personas se enfrenten unas con otras.,通过使人们互相对立来挑起紧张的阶级斗争，尽管这一套有点过时。,"Sorge für etwas gute alte Spannung zwischen den Klassen, indem du Leute gegeneinander aufbringst.",Desperte a boa e velha tensão entre classes colocando as pessoas umas contra as outras.,Provoquez une bonne vieille lutte des classes en retournant les personnes les unes contre les autres.,"Развороши пламя классовой ненависти, и да пойдет брат на брата и друг на друга.",사람들을 서로 대적하여 좋은 구식 수업의 긴장을 고조시킵니다.
D2_ShapeShifter_BQ,Possess a certain person and use them to directly neutralize another person on each floor,,,Posee una determinada persona y úsala para neutralizar directamente a otra persona en cada planta,占据某些人的身体并且使用他们消灭另一个特定的人。,"Eigne dir den Körper einer bestimmten Person an und nutze ihn, um in jedem Abschnitt eine andere Person direkt zu neutralisieren",Possua uma pessoa e use-a para neutralizar outra em cada um dos andares,Possédez certaines personnes et utilisez-les pour neutraliser directement d'autres habitants de l'étage,"На каждом этажа завладей телом определенного человека и используй его, чтобы напрямую нейтрализовать другого человека",특정 사람을 소유하고 그들을 사용하여 각 층의 다른 사람들을 직접 무력화시킵니다.
Hacker_BQ,Hack the Planet,,,Hackea el planeta,黑客帝国,Hacke den Planeten,Hackeie o Planeta,Pirates de la planète,Хакнем планету,행성을 해킹하세요!
D_Hacker_BQ,Install malware on each floor of the city to set off the largest-scale cyber-attack in history.,,,Instala malware en cada planta de la ciudad para desencadenar el ciberataque de mayor alcance de la historia.,在城市的每一层都安装过黑客软件，以此来制造有史以来最大规模的网络攻击。,"Installiere Malware in jedem Abschnitt der Stadt, um den größten Cyberangriff in der Geschichte zu starten.",Instale um malware em cada um dos andares da cidade para iniciar o ciberataque de maiores proporções da história.,Installez un logiciel malveillant à chaque étage de la ville pour déclencher la plus grande cyber-attaque de l'histoire.,"Установи вирус на каждом этаже города, чтобы запустить крупнейшую в истории кибератаку.",도시의 각 층에 악성 코드를 설치하여 역사상 최대 규모의 사이버 공격을 차단하세요.
D2_Hacker_BQ,Install malware on a computer,,,Instala malware en una computadora,在电脑上安装黑客软件。,Installiere Malware auf einem Computer,Instale o malware em um computador,Installez un logiciel malveillant sur un ordinateur,Установить вирус на компьютер,컴퓨터에 악성 코드 설치
Werewolf_BQ,Satiate that Bloodlust!,,,¡Sacia esa sed de sangre!,满足嗜血欲！,Stille den Blutdurst!,Sacie essa Sede por Sangue!,Étanchez cette soif de sang !,Удовлетвори жажду крови!,피의 욕심을 채워라!
D_Werewolf_BQ,Short bursts of megaviolence on a regular basis make for one happy Werewolf!,,,¡Las breves ráfagas de megaviolencia periódicas hacen feliz a un hombre lobo!,定期制造突然的暴力杀戮是一个狼人的快乐来源！,Regelmäßige Ausbrüche an Megagewalt machen einen Werwolf glücklich!,As breves explosões de megaviolência periódicas deixam um Lobisomem feliz!,"Quelques réguliers éclats de mégaviolence, rien de tel pour avoir un Loup-garou au poil brillant et à la truffe fraîche !",Регулярные короткие вспышки меганасилия — вот что делает вервольфа счастливым!,정기적으로 메가 폭동의 단기 소요를 일으켜 행복한 늑대 인간이 됩니다!
D2_Werewolf_BQ,Kill 5 people during a single transformation,,,Mata a 5 personas durante una sola transformación,一次变身之中杀死5个人。,Töte bei einer einzigen Verwandlung fünf Personen,Mate 5 pessoas durante uma única transformação,Tuez 5 personnes au cours d'une même transformation,Убей пять человек за одну трансформацию,단일 변형 중 5명 처치
NoDisasterDescription,This disaster does not appear in the game,,,Este desastre no aparece en el juego,这个灾难不会在游戏中出现。,Diese Katastrophe tritt im Spiel nicht ein,Este desastre não aparece no jogo,Ce désastre n'apparaît pas dans la partie,Эта неприятность в игре не случается,이 재앙은 게임에 나타나지 않습니다.
Bartender_BQ,Quest with a Twist,,,Misión con un giro inesperado,曲折的调酒大师之路,Aufgabe mit einer Wendung,Missão com uma Reviravolta,Quête à la cuillère,Миссия с подковыркой,트위스트 퀘스트
D_Bartender_BQ,Hone your drink-mixing skills to get a job in a classy Uptown establishment.,,,Perfecciona tus habilidades de barman para conseguir un trabajo en un elegante establecimiento del Barrio privilegiado.,磨炼你的调酒技术，以在高档的住宅区找到工作。,"Verbessere deine Fähigkeiten des Getränkemischens, um einen Job in einer edlen Einrichtung im Nobelviertel zu bekommen.",Aperfeiçoe suas habilidades de mistura de bebida para conseguir um emprego em um estabelecimento chique no Bairro Classe A.,Affinez vos talents de préparateur de boissons pour décrocher un boulot dans un établissement des Quartiers chics.,"Отточи навыки смешивания напитков, чтобы получить работу в стильном заведении пригорода.",고상한 업타운 지역에서 일자리를 찾기 위해 음료 믹스 기술을 연마합니다.
D2_Bartender_BQ,Serve drinks to different people,,,Sirve bebidas a diferentes personas,向不同的人提供酒水,Serviere verschiedenen Personen Getränke,Sirva bebidas para pessoas diferentes,Servez des boissons à différentes personnes,Подай напитки разным людям,다른 사람들에게 음료수를 제공합니다.
Gorilla_BQ,Hairy Justice,,,Justicia peluda,猩球崛起,Haarige Gerechtigkeit,Justiça Peluda,Justice poilue,Волосатая справедливость,털이 많은 정의
D_Gorilla_BQ,"Rescue all of your smelly, grunting brethren from captivity.",,,Rescata del cautiverio a todos tus hermanos apestosos y gruñones.,拯救你所有被囚禁的、臭气熏天的兄弟们。,"Rette all deine stinkenden, grunzenden Brüder aus der Gefangenschaft.",Resgate todos os seus irmãos fedorentos e barulhentos do cativeiro.,Délivrez tous vos frères malodorants et grogneurs.,Освободи из плена всех своих смердящих и мычащих братьев.,사로 잡힌 형제들을 포로에서 구출합니다.
D2_Gorilla_BQ,Rescue every Gorilla from captivity,,,Libera a todos los gorilas del cautiverio,拯救每一只被囚禁的大猩猩。,Rette jeden Gorilla aus der Gefangenschaft,Resgate todos os Gorilas do cativeiro,Délivrez tous les gorilles,Освободить из плена всех горилл,포로에서 모든 고릴라를 구출합니다
Thief_BQ,Undiscerning Looting,,,Saqueo desenfrenado,无差别掠夺,Einsichtsloses Plündern,Saques Profissionais,Pillage sans discernement,Мародерство без разбора,약탈 불명
